Test,n_sources,max_out_degree,n_nodes,max_instances,n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges,n_cycles
rotate-ushort3,2,2,15,1,8,11,4,1,1,8,0,20,63
convert-float8-short8_rtz,1,8,18,1,8,10,3,1,1,0,0,24,127
convert-short-int,1,1,4,1,1,3,3,1,1,15,0,3,0
convert-float8-short8_rtp,1,8,18,1,8,10,3,1,1,0,0,24,127
convert-float-char_sat,6,4,18,1,10,12,5,1,1,12,0,26,511
convert-short16-float16_rte,1,8,27,1,16,19,3,2,1,12,0,40,16383
log2-float,1,1,4,1,1,3,3,1,1,7,1,3,0
convert-ushort16-float16,1,8,27,1,16,19,3,2,1,0,0,40,16383
cmp-basic-uint-1_pma,2,8,19,1,8,10,3,1,1,8,0,32,16383
convert-uint4-float4,1,4,10,1,4,6,3,1,1,0,0,12,7
atan-mul-float3,2,3,12,1,3,6,3,1,1,4,3,15,15
add-non-splat-non-imm-1d-short16_pma,9,8,26,1,8,10,3,1,1,8,0,32,127
convert-float2-ushort2_sat,7,4,32,1,22,24,6,1,2,15,0,56,33554431
pretty_box2box,3,11,77,2,57,61,10,1,1,0,0,130,2147483647
printf-in-eyeq-offload,2,8,19,1,8,10,3,1,1,3,0,32,16383
native_exp10-float3,2,3,9,1,3,5,3,1,1,7,3,12,15
convert-float-short_sat_rtn,6,4,18,1,10,12,5,1,1,4,0,26,511
convert-float-short_sat_rte,6,4,18,1,10,12,5,1,1,4,0,26,511
convert-float-short_sat_rtz,6,4,18,1,10,12,5,1,1,4,0,26,511
mul_hi-ushort,2,1,6,1,1,4,3,1,1,15,0,5,0
convert-float-short_sat_rtp,6,4,18,1,10,12,5,1,1,15,0,26,511
max-float,2,1,6,1,1,4,3,1,1,7,0,5,0
convert-short-ushort,1,1,3,1,0,2,2,1,1,0,0,2,0
all-short3,4,2,10,1,3,6,4,2,1,7,0,9,0
shl-const-non-imm-non-splatted-mask-int_pma,5,4,14,1,4,6,3,1,1,15,0,16,7
max-uint16,4,8,54,1,16,22,3,2,1,12,0,80,134217727
convert-char3-uint3,3,2,9,1,3,5,3,1,1,10,0,11,7
convert-short2-uint2,1,2,5,1,2,4,3,1,1,3,0,5,1
uchar-scalar-interlace-iterator,3,2,9,1,3,6,4,1,1,7,0,9,1
unaligned-store-offset-0-width-3,2,3,8,1,3,6,3,1,1,0,0,11,15
vec_step-short16,1,1,3,1,0,2,2,1,1,3,0,2,0
select-short16,3,8,44,1,16,20,3,1,2,12,0,88,2147483647
add_low_rshift_sat_h_ui,3,4,16,1,4,8,3,1,1,2,0,24,511
ldexp-float,2,1,8,1,3,6,5,1,1,10,1,7,0
mix-float3,3,4,28,1,12,16,5,1,1,3,0,40,8191
mix-float2,3,2,16,1,6,10,5,1,1,3,0,20,31
mix-float4,3,4,28,1,12,16,5,1,1,12,0,40,8191
convert-uchar8-float8_rtn,1,4,14,1,8,10,3,1,1,8,0,20,127
mix-float8,3,8,52,1,24,28,5,1,1,3,0,80,536870911
gather-movable-base,1,1,5,1,0,3,4,1,1,8,0,4,0
