Test,n_sources,max_out_degree,n_nodes,max_instances,n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges,n_cycles
convert-float4-uchar4_rtp,1,4,10,1,4,6,3,1,1,12,0,12,2
max-short8,2,4,19,1,8,11,3,1,2,1,0,32,4096
convert-float4-uchar4_rtn,1,4,10,1,4,6,3,1,1,9,0,12,2
clamp-short16,3,8,60,1,32,36,4,1,1,12,0,104,8.79609E+12
max-short2,2,2,7,1,2,5,3,1,1,0,0,8,1
convert-float4-uchar4_rte,1,4,10,1,4,6,3,1,1,14,0,12,2
max-short4,2,2,11,1,4,7,3,1,2,14,0,16,16
loop-1d-extra-dim_pma,2,8,27,1,8,11,3,1,1,2,0,40,4096
memcpy_3D,2,8,19,1,8,10,3,1,1,0,0,32,4096
masked_store_char16,2,8,19,1,8,10,3,1,1,1,0,32,4096
atan-float,1,1,4,1,1,3,3,1,1,8,1,3,0.25
clamp-short3,5,2,18,1,6,11,4,2,1,0,0,22,8
convert-ushort-int,3,1,5,1,0,3,2,2,1,12,0,3,0.125
convert-char4-short4,1,2,6,1,2,4,3,1,1,3,0,6,0.5
vec_step-char,1,1,3,1,0,2,2,1,1,12,0,2,0.25
convert-float8-short8_sat_rtn,6,8,95,1,80,82,5,1,2,2,0,208,5.1923E+33
native_cos-float3,2,3,9,1,3,5,3,1,1,3,3,12,4
store-1-byte-multi-dim,5,2,14,2,6,10,6,2,1,7,0,14,0.5
log2-mul-float4,2,4,15,1,4,7,3,1,1,14,4,20,16
convert-float3-uchar3_sat_rte,7,4,44,1,33,35,6,1,2,14,0,84,5.49756E+11
max-int4,2,4,15,1,4,7,3,1,1,10,0,20,16
abs-short16,1,8,26,1,16,18,3,1,1,10,0,40,8192
convert-float-ushort,1,1,4,1,1,3,3,1,1,12,0,3,0.25
convert-float3-uchar3_sat_rtn,7,4,44,1,33,35,6,1,2,3,0,84,5.49756E+11
convert-float8-short8_sat_rte,6,8,95,1,80,82,5,1,2,0,0,208,5.1923E+33
convert-float3-uchar3_sat_rtp,7,4,44,1,33,35,6,1,2,10,0,84,5.49756E+11
select-char4,3,2,20,1,10,14,4,1,1,1,0,28,128
convert-float3-uchar3_sat_rtz,7,4,44,1,33,35,6,1,2,10,0,84,5.49756E+11
hadd-uint,2,1,6,1,1,4,3,1,1,12,0,5,0.25
rotate-ushort,3,2,12,1,6,9,5,1,1,10,0,14,2
convert-uchar8-char8,1,3,5,1,0,2,2,1,1,10,0,6,1
convert-uchar2-ushort2,1,1,4,1,1,3,3,1,1,10,0,3,0.25
convert-ushort16-uchar16,1,8,10,1,0,2,2,1,1,10,0,16,32
convert-int8-char8,1,8,10,1,0,2,2,1,1,10,0,16,32
shl-const-non-imm-mask-int_pma,2,4,11,1,4,6,3,1,1,0,0,16,16
convert-uint16-int16,2,8,20,1,0,4,2,2,1,10,0,32,2048
rotate-short,3,2,12,1,6,9,5,1,1,12,0,14,2
add_sat-short,4,3,11,1,4,7,4,1,1,12,0,14,4
convert-uint-short,1,1,3,1,0,2,2,1,1,10,0,2,0.25
clamp-uchar16_scalar,4,16,57,1,42,46,5,1,1,1,0,102,1.75922E+13
gather-mode4-zext,3,8,37,1,20,24,7,1,1,1,0,56,262144
convert-ushort16-float16_rte,1,8,27,1,16,19,3,2,1,3,0,40,4096
upsample-short16,3,16,37,1,16,20,3,2,2,10,0,80,4.39805E+12
convert-ushort16-float16_rtn,1,8,27,1,16,19,3,2,1,3,0,40,4096
min-short8,2,4,19,1,8,11,3,1,2,1,0,32,4096
ashr-basic-char-1_pma,2,8,27,1,16,18,4,1,1,1,0,40,4096
hadd-uchar16,2,8,27,1,8,11,3,1,1,1,0,40,4096
mul_hi-char,3,1,10,1,4,7,5,1,1,3,0,9,0.25
store-1-byte-2D,5,2,13,2,6,9,6,1,1,14,0,13,0.5
min-short3,4,2,12,1,3,7,3,2,1,3,0,14,2
min-short2,2,2,7,1,2,5,3,1,1,3,0,8,1
min-short4,2,2,11,1,4,7,3,1,2,0,0,16,16
select-ushort,3,1,9,1,2,6,4,1,1,0,0,8,0.25
min-short16,2,8,35,1,16,19,3,1,2,15,0,64,268435456
convert-float2-uint2,1,2,6,1,2,4,3,1,1,100,0,6,0.5
min-char,2,1,8,1,3,6,4,1,1,3,0,7,0.25
native_tan-float4,2,8,19,1,12,14,4,1,1,100,12,32,4096
